395
11868	12226	1	0	0
11873	12226	1	1	1
12612	12720	1	0	0
12612	12720	1	1	1
13220	14361	1	0	0
13220	14408	1	1	1
17368	17435	2	2	2
17368	17435	2	3	3
17368	17435	2	4	4
17368	17435	2	5	5
30365	30502	1	6	6
30365	30502	1	7	7
30365	30502	1	8	8
30365	30502	1	9	9
34610	35173	2	10	10
34610	35173	2	11	11
34610	35173	2	12	12
35276	35480	2	10	10
35276	35480	2	11	11
35276	35480	2	12	12
35720	36080	2	10	10
35720	36080	2	11	11
35720	36080	2	12	12
134772	139695	2	13	13
139789	139846	2	13	13
140074	140565	2	13	13
323891	324059	1	14	14
323891	324059	1	15	15
324287	324344	1	14	14
324287	324344	1	15	15
324438	328580	1	14	14
324438	328580	1	15	15
562759	563202	2	16	16
563340	563602	2	16	16
564298	564388	2	16	16
661138	665183	2	17	17
665277	665334	2	17	17
665562	665730	2	17	17
700244	700626	2	18	18
701708	701766	2	18	18
703927	703992	2	18	18
704876	705091	2	18	18
708355	708486	2	18	18
709550	709659	2	18	18
713663	714067	2	18	18
752750	753581	1	19	19
754102	755213	1	19	19
761585	762901	2	20	20
762970	763154	1	21	21
762970	763154	1	21	22
762970	763154	1	21	23
762970	763154	1	21	24
762970	763154	1	21	25
763177	763228	1	21	26
764382	764483	1	21	21
764382	764483	1	21	22
764382	764483	1	21	23
764382	764483	1	21	24
764382	764483	1	21	25
764382	764483	1	21	26
776579	778983	1	21	21
783033	783185	1	21	22
787306	787489	1	21	22
787306	787489	1	21	23
787306	787489	1	21	24
787306	787489	1	21	26
788050	788145	1	21	22
788050	788145	1	21	23
788050	788145	1	21	25
788050	788145	1	21	26
788770	794825	1	21	22
788770	794825	1	21	23
788770	794825	1	21	24
788770	794825	1	21	25
788770	794825	1	21	26
803450	804054	2	22	27
809491	810534	2	22	27
812125	812181	2	22	27
852197	853099	2	23	28
852197	853099	2	23	29
853401	853494	2	23	29
853401	853554	2	23	28
854204	854294	2	23	28
854204	854294	2	23	29
854714	855071	2	23	28
854714	855071	2	23	29
879582	880179	2	45	61
880436	880525	2	45	61
880897	881032	2	45	61
881552	881665	2	45	61
881781	881924	2	45	61
883510	883611	2	45	61
883869	883982	2	45	61
886506	886617	2	45	61
887379	887518	2	45	61
887791	887979	2	45	61
888554	888667	2	45	61
889161	889271	2	45	61
889383	889461	2	45	61
891302	891392	2	45	61
891474	891594	2	45	61
892273	892404	2	45	61
892478	892652	2	45	61
894308	894460	2	45	61
894594	894635	2	45	61
901861	901993	1	24	30
902083	902182	1	24	30
905656	905802	1	24	30
905900	905980	1	24	30
906065	906137	1	24	30
906258	906385	1	24	30
906456	906587	1	24	30
906703	906783	1	24	30
907454	907529	1	24	30
907667	907803	1	24	30
908240	908389	1	24	30
908879	909019	1	24	30
909212	909430	1	24	30
909695	909743	1	24	30
909821	911244	1	24	30
995113	995225	1	25	31
995659	995772	1	25	31
998458	998580	1	25	31
1001209	1001832	1	25	31
1017202	1018366	2	31	38
1017202	1018366	2	31	60
1019294	1019762	2	31	60
1019732	1019762	2	31	38
1019860	1019885	2	31	38
1019860	1019885	2	31	60
1021257	1021391	2	31	38
1021257	1021391	2	31	60
1022518	1022583	2	31	38
1022518	1022583	2	31	60
1022881	1022976	2	31	38
1022881	1022976	2	31	60
1025732	1025807	2	31	38
1025732	1025807	2	31	60
1026851	1026944	2	31	38
1026851	1026944	2	31	60
1027370	1027482	2	31	38
1027370	1027482	2	31	60
1050401	1050454	2	31	60
1051439	1051468	2	31	38
1051439	1051468	2	31	60
1072396	1072489	1	26	32
1076204	1076411	1	26	32
1078118	1079433	1	26	32
1167616	1170419	1	43	57
1215815	1216045	1	27	33
1216605	1216676	1	27	33
1216790	1216989	1	27	33
1217621	1217694	1	27	33
1219357	1219469	1	27	33
1221305	1221657	1	27	33
1222147	1222354	1	27	33
1222488	1222678	1	27	33
1222887	1222975	1	27	33
1223052	1223215	1	27	33
1223318	1223416	1	27	33
1225650	1225767	1	27	33
1225856	1225934	1	27	33
1226016	1226073	1	27	33
1226274	1226332	1	27	33
1226444	1226519	1	27	33
1226633	1227408	1	27	33
1231489	1231549	2	28	34
1240108	1240191	2	29	35
1243959	1244099	1	30	36
1243959	1244099	1	30	37
1244294	1244351	1	30	36
1244465	1244652	1	30	36
1244465	1244652	1	30	37
1244833	1244982	1	30	36
1244833	1244982	1	30	37
1245060	1245230	1	30	36
1245060	1245230	1	30	37
1246013	1246067	1	30	36
1246013	1246067	1	30	37
1528855	1529720	2	39	48
1535587	1535639	2	39	48
1540685	1540763	2	39	48
1541742	1541910	2	39	48
1543820	1543948	2	39	48
1544879	1544991	2	39	48
1558257	1558321	2	39	48
1560450	1560563	2	39	48
1563724	1563834	2	39	48
1574803	1575111	2	39	48
1575666	1575726	1	50	67
1582585	1582658	1	50	67
1582756	1582869	1	50	67
1585859	1585920	1	50	67
1587699	1587804	1	50	67
1587946	1589001	1	50	67
2257254	2257473	1	34	43
2389923	2390060	1	34	43
2404601	2404657	1	34	43
2404758	2404815	1	34	43
2444027	2444070	1	34	43
2444173	2444214	1	34	43
2471953	2472040	1	34	43
2479497	2479588	1	34	43
2515508	2515635	1	34	43
4163004	4163529	1	41	51
4163014	4163293	1	41	52
4164200	4164405	1	41	51
4164200	4164405	1	41	52
4169522	4169731	1	41	51
4169522	4169731	1	41	52
4171209	4171397	1	41	51
4171209	4171397	1	41	52
4172633	4172774	1	41	51
4172633	4172774	1	41	52
4179777	4179989	1	41	51
4179777	4179989	1	41	52
4184860	4185031	1	41	51
4184860	4185077	1	41	52
4185464	4185745	1	41	51
4185464	4185745	1	41	52
4185793	4186647	1	41	52
4187263	4187717	1	41	51
4190843	4191034	1	41	51
4194240	4194549	1	41	51
4197622	4197785	1	41	51
4202957	4203998	1	41	51
