395
0	358	0
744	852	359
1352	2493	468
0	353	0
739	847	354
1347	2535	463
0	67	0
0	67	0
0	67	0
0	67	0
0	137	0
0	137	0
0	137	0
0	137	0
0	563	0
666	870	564
1110	1470	769
0	563	0
666	870	564
1110	1470	769
0	563	0
666	870	564
1110	1470	769
0	4923	0
5017	5074	4924
5302	5793	4982
0	168	0
396	453	169
547	4689	227
0	168	0
396	453	169
547	4689	227
0	443	0
581	843	444
1539	1629	707
0	4045	0
4139	4196	4046
4424	4592	4104
0	382	0
1464	1522	383
3683	3748	442
4632	4847	508
8111	8242	724
9306	9415	856
13419	13823	966
0	831	0
1352	2463	832
0	1316	0
0	184	0
1412	1513	185
13609	16013	287
0	184	0
1412	1513	185
20063	20215	287
24336	24519	440
25080	25175	624
25800	31855	720
0	184	0
1412	1513	185
24336	24519	287
25080	25175	471
25800	31855	567
0	184	0
1412	1513	185
24336	24519	287
25800	31855	471
0	184	0
1412	1513	185
25080	25175	287
25800	31855	383
0	51	0
1205	1306	52
24129	24312	154
24873	24968	338
25593	31648	434
0	604	0
6041	7084	605
8675	8731	1649
0	902	0
1204	1357	903
2007	2097	1057
2517	2874	1148
0	902	0
1204	1297	903
2007	2097	997
2517	2874	1088
0	597	0
854	943	598
1315	1450	688
1970	2083	824
2199	2342	938
3928	4029	1082
4287	4400	1184
6924	7035	1298
7797	7936	1410
8209	8397	1550
8972	9085	1739
9579	9689	1853
9801	9879	1964
11720	11810	2043
11892	12012	2134
12691	12822	2255
12896	13070	2387
14726	14878	2562
15012	15053	2715
0	132	0
222	321	133
3795	3941	233
4039	4119	380
4204	4276	461
4397	4524	534
4595	4726	662
4842	4922	794
5593	5668	875
5806	5942	951
6379	6528	1088
7018	7158	1238
7351	7569	1379
7834	7882	1598
7960	9383	1647
0	112	0
546	659	113
3345	3467	227
6096	6719	350
0	1164	0
2530	2560	1165
2658	2683	1196
4055	4189	1222
5316	5381	1357
5679	5774	1423
8530	8605	1519
9649	9742	1595
10168	10280	1689
34237	34266	1802
0	1164	0
2092	2560	1165
2658	2683	1634
4055	4189	1660
5316	5381	1795
5679	5774	1861
8530	8605	1957
9649	9742	2033
10168	10280	2127
33199	33252	2240
34237	34266	2294
0	93	0
3808	4015	94
5722	7037	302
0	2803	0
0	230	0
790	861	231
975	1174	303
1806	1879	503
3542	3654	577
5490	5842	690
6332	6539	1043
6673	6863	1251
7072	7160	1442
7237	7400	1531
7503	7601	1695
9835	9952	1794
10041	10119	1912
10201	10258	1991
10459	10517	2049
10629	10704	2108
10818	11593	2184
0	60	0
0	83	0
0	140	0
335	392	141
506	693	199
874	1023	387
1101	1271	537
2054	2108	708
0	140	0
506	693	141
874	1023	329
1101	1271	479
2054	2108	650
0	865	0
6732	6784	866
11830	11908	919
12887	13055	998
14965	15093	1167
16024	16136	1296
29402	29466	1409
31595	31708	1474
34869	34979	1588
45948	46256	1699
0	60	0
6919	6992	61
7090	7203	135
10193	10254	249
12033	12138	311
12280	13335	417
0	219	0
132669	132806	220
147347	147403	358
147504	147561	415
186773	186816	473
186919	186960	517
214699	214786	559
222243	222334	647
258254	258381	739
0	525	0
1196	1401	526
6518	6727	732
8205	8393	942
9629	9770	1131
16773	16985	1273
21856	22027	1486
22460	22741	1658
24259	24713	1940
27839	28030	2395
31236	31545	2587
34618	34781	2897
39953	40994	3061
0	279	0
1186	1391	280
6508	6717	486
8195	8383	696
9619	9760	885
16763	16975	1027
21846	22063	1240
22450	22731	1458
22779	23633	1740
0	547	0
952	1061	548
1381	1538	658
1780	1932	816
2654	2773	969
2890	3027	1089
4006	4082	1227
4260	4473	1304
4703	4861	1518
7164	7322	1677
0	547	0
952	1061	548
1381	1538	658
1780	1932	816
2654	2773	969
2890	3027	1089
4703	4795	1227
7164	7322	1320
0	38	0
5126	5328	39
7811	7958	242
12377	12513	390
14292	14420	527
16679	16862	656
22741	26999	840
0	303	0
2786	2933	304
7352	7488	452
9267	9395	589
10118	10273	718
11654	11837	874
17716	21974	1058
0	258	0
6122	6830	259
10274	10482	968
16477	16534	1177
16655	16743	1235
34441	35067	1324
0	199	0
172335	172487	200
0	443	0
0	447	0
0	447	0
0	92	0
45194	45328	93
75089	75248	228
102038	102115	388
102785	102877	466
104638	104725	559
105259	105311	647
106093	106170	700
107221	107339	778
111966	112173	897
112598	112666	1105
113536	113808	1174
114103	114288	1447
117548	119671	1633
0	104	0
44539	44673	105
74434	74593	240
85740	85901	400
101383	101460	562
102130	102222	640
103983	104070	733
104601	104656	821
105438	105515	877
106566	106684	955
111311	111518	1074
111943	112011	1282
112881	113153	1351
113448	113633	1624
116893	119016	1810
0	74	0
632	831	75
1338	1420	275
0	113	0
678	949	114
1264	1474	386
1552	1987	597
2850	2969	1033
3420	3551	1153
3760	3871	1285
4037	4109	1397
4240	4376	1470
4468	4601	1607
4704	4799	1741
4973	5070	1837
5141	5352	1935
5430	6981	2147
0	343	0
633	822	344
1127	1277	534
1346	1448	685
1709	1852	788
2101	2241	932
2357	2490	1073
2979	3177	1207
4152	4311	1406
11578	11681	1566
0	263	0
368	538	264
3456	3626	435
3942	4112	606
4248	4418	777
4500	4670	948
5314	5484	1119
5969	6139	1290
7547	7734	1461
10309	10481	1649
12094	12253	1822
0	263	0
368	538	264
3456	3626	435
3942	4112	606
4248	4418	777
4500	4670	948
5314	5484	1119
5969	6139	1290
7547	7666	1461
12094	12253	1581
0	63	0
792	922	64
1109	1806	195
2219	3055	893
0	507	0
792	922	508
1109	1806	639
2219	2347	1337
2588	3055	1466
0	122	0
5022	5127	123
5495	5611	229
10789	10994	346
14914	14997	552
16089	16204	636
20453	20550	752
20925	21100	850
21903	22032	1026
25104	25231	1156
28649	28830	1284
29135	29254	1466
29972	30126	1586
30596	33250	1741
33726	33877	4396
34031	34291	4548
34484	34612	4809
35164	35752	4938
0	336	0
21770	21838	337
60891	61978	406
63748	63909	1494
79649	79771	1656
80152	80318	1779
84550	84689	1946
86118	86243	2086
88058	88157	2212
88353	88514	2312
91637	91729	2474
93736	93785	2567
93871	93952	2617
0	3514	0
5856	5960	3515
0	38	0
5126	5328	39
7811	7958	242
12377	12513	390
14292	14420	527
16679	16862	656
22741	26999	840
